path,dir,file,export_default,export_named,imports_count,imported_by_count,reachable_from_entry,is_test_or_story,is_config_like,is_orphan
/src/components/ui/navigation-menu.tsx,/src/components/ui,navigation-menu.tsx,False,"NavigationMenu,NavigationMenuList,NavigationMenuItem,NavigationMenuContent,NavigationMenuTrigger,NavigationMenuLink,NavigationMenuIndicator,NavigationMenuViewport,navigationMenuTriggerStyle",1,0,False,False,False,True
/src/components/ui/pagination.tsx,/src/components/ui,pagination.tsx,False,"Pagination,PaginationContent,PaginationLink,PaginationItem,PaginationPrevious,PaginationNext,PaginationEllipsis",2,0,False,False,False,True
/src/components/ui/popover.tsx,/src/components/ui,popover.tsx,False,"Popover,PopoverTrigger,PopoverContent,PopoverAnchor",1,5,True,False,False,False
/src/components/ui/progress.tsx,/src/components/ui,progress.tsx,False,Progress,1,44,True,False,False,False
/src/components/ui/radio-group.tsx,/src/components/ui,radio-group.tsx,False,"RadioGroup,RadioGroupItem",1,9,True,False,False,False
/src/components/ui/resizable.tsx,/src/components/ui,resizable.tsx,False,"ResizablePanelGroup,ResizablePanel,ResizableHandle",1,0,False,False,False,True
/src/components/ui/scroll-area.tsx,/src/components/ui,scroll-area.tsx,False,"ScrollArea,ScrollBar",1,6,True,False,False,False
/src/components/ui/select.tsx,/src/components/ui,select.tsx,False,"Select,SelectContent,SelectGroup,SelectItem,SelectLabel,SelectScrollDownButton,SelectScrollUpButton,SelectSeparator,SelectTrigger,SelectValue",1,110,True,False,False,False
/src/components/ui/separator.tsx,/src/components/ui,separator.tsx,False,Separator,1,49,True,False,False,False
/src/components/ui/sheet.tsx,/src/components/ui,sheet.tsx,False,"Sheet,SheetTrigger,SheetClose,SheetContent,SheetHeader,SheetFooter,SheetTitle,SheetDescription",1,2,True,False,False,False
/src/components/ui/sidebar.tsx,/src/components/ui,sidebar.tsx,False,"Sidebar,SidebarContent,SidebarFooter,SidebarGroup,SidebarGroupAction,SidebarGroupContent,SidebarGroupLabel,SidebarHeader,SidebarInput,SidebarInset,SidebarMenu,SidebarMenuAction,SidebarMenuBadge,SidebarMenuButton,SidebarMenuItem,SidebarMenuSkeleton,SidebarMenuSub,SidebarMenuSubButton,SidebarMenuSubItem,SidebarProvider,SidebarRail,SidebarSeparator,SidebarTrigger,useSidebar",8,0,False,False,False,True
/src/components/ui/skeleton.tsx,/src/components/ui,skeleton.tsx,False,Skeleton,1,1,False,False,False,False
/src/components/ui/slider.tsx,/src/components/ui,slider.tsx,False,Slider,1,6,True,False,False,False
/src/components/ui/sonner.tsx,/src/components/ui,sonner.tsx,False,Toaster,0,0,False,False,False,True
/src/components/ui/switch.tsx,/src/components/ui,switch.tsx,False,Switch,1,48,True,False,False,False
/src/components/ui/table.tsx,/src/components/ui,table.tsx,False,"Table,TableHeader,TableBody,TableFooter,TableHead,TableRow,TableCell,TableCaption",1,23,True,False,False,False
/src/components/ui/tabs.tsx,/src/components/ui,tabs.tsx,False,"Tabs,TabsList,TabsTrigger,TabsContent",1,126,True,False,False,False
/src/components/ui/textarea.tsx,/src/components/ui,textarea.tsx,False,Textarea,1,71,True,False,False,False
/src/components/ui/toggle-group.tsx,/src/components/ui,toggle-group.tsx,False,"ToggleGroup,ToggleGroupItem",2,0,False,False,False,True
/src/components/ui/toggle.tsx,/src/components/ui,toggle.tsx,False,"Toggle,toggleVariants",1,1,False,False,False,False
/src/components/ui/tooltip.tsx,/src/components/ui,tooltip.tsx,False,"Tooltip,TooltipTrigger,TooltipContent,TooltipProvider",1,1,False,False,False,False
/src/components/ui/use-mobile.ts,/src/components/ui,use-mobile.ts,False,useIsMobile,0,1,False,False,False,False
/src/components/ui/utils.ts,/src/components/ui,utils.ts,False,cn,0,44,True,False,False,False
/src/components/ui/class-card.tsx,/src/components/ui,class-card.tsx,False,ClassCard,7,2,True,False,False,False
/src/components/figma/ImageWithFallback.tsx,/src/components/figma,ImageWithFallback.tsx,False,ImageWithFallback,0,17,True,False,False,False
/src/components/marketing/FunnelManagement.tsx,/src/components/marketing,FunnelManagement.tsx,False,FunnelManagement,13,1,True,False,False,False
/src/components/marketing/FunnelBuilder.tsx,/src/components/marketing,FunnelBuilder.tsx,False,FunnelBuilder,9,1,True,False,False,False
/src/components/marketing/CampaignManagement.tsx,/src/components/marketing,CampaignManagement.tsx,False,CampaignManagement,15,1,True,False,False,False
/src/components/marketing/CampaignComposer.tsx,/src/components/marketing,CampaignComposer.tsx,False,CampaignComposer,10,0,False,False,False,True
